"108-109年各次產業營業收入結構","","",""
"","","",""
"占比數據因採四捨五入法，故加總不為100％。
集管團體與版權業 N=8
"108","展演協力業","數位音樂串流/下載","0"
"108","展演協力業","KTV與伴唱產品","0.08"
"108","展演協力業","演藝經紀","0"
"108","展演協力業","周邊商品","0"
"108","展演協力業","活動空間營運","0"
"108","展演協力業","活動策劃","7.62"
"108","展演協力業","活動製作/工程","89.31"
"108","展演協力業","票券銷售服務","0"
"108","展演協力業","其他文化內容領域","0.77"
"108","展演協力業","其他","2.23"
"108","展演空間業","音樂製作","1.33"
"108","展演空間業","實體音樂銷售","0"
"108","展演空間業","歌曲授權及版權管理","0"
"108","展演空間業","數位音樂串流/下載","0"
"108","展演空間業","KTV與伴唱產品","0"
"108","展演空間業","演藝經紀","0.83"
"108","展演空間業","周邊商品","0.87"
"108","展演空間業","活動空間營運","74.6"
"108","展演空間業","活動策劃","11.07"
"108","展演空間業","活動製作/工程","4.27"
"108","展演空間業","票券銷售服務","1.67"
"108","展演空間業","其他文化內容領域","1.43"
"108","展演空間業","其他","3.93"
"108","售票業","音樂製作","0"
"108","售票業","實體音樂銷售","0"
"108","售票業","歌曲授權及版權管理","0"
"108","售票業","數位音樂串流/下載","0"
"108","售票業","KTV與伴唱產品","0"
"108","售票業","演藝經紀","0"
"108","售票業","周邊商品","0.83"
"108","售票業","活動空間營運","2.03"
"108","售票業","活動策劃","14.17"
"108","售票業","活動製作/工程","1.67"
"108","售票業","票券銷售服務","64.97"
"108","售票業","其他文化內容領域","16.33"
"108","售票業","其他","0"
"108","KTV與伴唱產品業","音樂製作","0"
"108","KTV與伴唱產品業","實體音樂銷售","0"
"108","KTV與伴唱產品業","歌曲授權及版權管理","0"
"108","KTV與伴唱產品業","數位音樂串流/下載","0"
"108","KTV與伴唱產品業","KTV與伴唱產品","67.33"
"108","KTV與伴唱產品業","演藝經紀","0"
"108","KTV與伴唱產品業","周邊商品","1.33"
"108","KTV與伴唱產品業","活動空間營運","0"
"108","KTV與伴唱產品業","活動策劃","0"
"108","KTV與伴唱產品業","活動製作/工程","0"
"108","KTV與伴唱產品業","票券銷售服務","0"
"108","KTV與伴唱產品業","其他文化內容領域","0"
"108","KTV與伴唱產品業","其他","31.33"
"109","詞曲經紀業","音樂製作","-"
"109","詞曲經紀業","實體音樂銷售","-"
"109","詞曲經紀業","歌曲授權及版權管理","99.8"
"109","詞曲經紀業","數位音樂串流/下載","-"
"109","詞曲經紀業","KTV與伴唱產品","-"
"109","詞曲經紀業","演藝經紀","-"
"109","詞曲經紀業","周邊商品","-"
"109","詞曲經紀業","活動空間營運","-"
"109","詞曲經紀業","活動策劃","-"
"109","詞曲經紀業","活動製作/工程","-"
"109","詞曲經紀業","票券銷售服務","-"
"109","詞曲經紀業","其他文化內容領域","-"
"109","詞曲經紀業","其他","0.2"
"109","音樂製作/發行/藝人經紀業","音樂製作","23.34"
"109","音樂製作/發行/藝人經紀業","實體音樂銷售","5.48"
"109","音樂製作/發行/藝人經紀業","歌曲授權及版權管理","20.67"
"109","音樂製作/發行/藝人經紀業","數位音樂串流/下載","11.56"
"109","音樂製作/發行/藝人經紀業","KTV與伴唱產品","0.79"
"109","音樂製作/發行/藝人經紀業","演藝經紀","20.08"
"109","音樂製作/發行/藝人經紀業","周邊商品","1.84"
"109","音樂製作/發行/藝人經紀業","活動空間營運","0.94"
"109","音樂製作/發行/藝人經紀業","活動策劃","4.69"
"109","音樂製作/發行/藝人經紀業","活動製作/工程","3.13"
"109","音樂製作/發行/藝人經紀業","票券銷售服務","1.07"
"109","音樂製作/發行/藝人經紀業","其他文化內容領域","2.96"
"109","音樂製作/發行/藝人經紀業","其他","3.44"
"109","音樂串流/下載平台業","音樂製作","-"
"109","音樂串流/下載平台業","實體音樂銷售","-"
"109","音樂串流/下載平台業","歌曲授權及版權管理","-"
"109","音樂串流/下載平台業","數位音樂串流/下載","100"
"109","音樂串流/下載平台業","KTV與伴唱產品","-"
"109","音樂串流/下載平台業","演藝經紀","-"
"109","音樂串流/下載平台業","周邊商品","-"
"109","音樂串流/下載平台業","活動空間營運","-"
"109","音樂串流/下載平台業","活動策劃","-"
"109","音樂串流/下載平台業","活動製作/工程","-"
"109","音樂串流/下載平台業","票券銷售服務","-"
"109","音樂串流/下載平台業","其他文化內容領域","-"
"109","音樂串流/下載平台業","其他","-"
"109","展演活動策劃與製作業","音樂製作","4.67"
"109","展演活動策劃與製作業","實體音樂銷售","0.87"
"109","展演活動策劃與製作業","歌曲授權及版權管理","2.5"
"109","展演活動策劃與製作業","數位音樂串流/下載","0.88"
"109","展演活動策劃與製作業","KTV與伴唱產品","0.25"
"109","展演活動策劃與製作業","演藝經紀","8.84"
"109","展演活動策劃與製作業","周邊商品","0.24"
"109","展演活動策劃與製作業","活動空間營運","8.72"
"109","展演活動策劃與製作業","活動策劃","34.91"
"109","展演活動策劃與製作業","活動製作/工程","27.1"
"109","展演活動策劃與製作業","票券銷售服務","0.08"
"109","展演活動策劃與製作業","其他文化內容領域","4.38"
"109","展演活動策劃與製作業","其他","6.58"
"109","展演協力業","音樂製作","0.63"
"109","展演協力業","實體音樂銷售","-"
"109","展演協力業","歌曲授權及版權管理","-"
"109","展演協力業","數位音樂串流/下載","-"
"109","展演協力業","KTV與伴唱產品","-"
"109","展演協力業","演藝經紀","-"
"109","展演協力業","周邊商品","-"
"109","展演協力業","活動空間營運","0.75"
"109","展演協力業","活動策劃","1.13"
"109","展演協力業","活動製作/工程","91.88"
"109","展演協力業","票券銷售服務","-"
"109","展演協力業","其他文化內容領域","-"
"109","展演協力業","其他","5.63"
"109","展演空間業","音樂製作","2.03"
"109","展演空間業","實體音樂銷售","0.23"
"109","展演空間業","歌曲授權及版權管理","0.32"
"109","展演空間業","數位音樂串流/下載","0.48"
"109","展演空間業","KTV與伴唱產品","-"
"109","展演空間業","演藝經紀","0.97"
"109","展演空間業","周邊商品","0.48"
"109","展演空間業","活動空間營運","66.85"
"109","展演空間業","活動策劃","10.14"
"109","展演空間業","活動製作/工程","3.22"
"109","展演空間業","票券銷售服務","0.97"
"109","展演空間業","其他文化內容領域","4.9"
"109","展演空間業","其他","9.41"
"109","售票業","音樂製作","-"
"109","售票業","實體音樂銷售","-"
"109","售票業","歌曲授權及版權管理","-"
"109","售票業","數位音樂串流/下載","-"
"109","售票業","KTV與伴唱產品","-"
"109","售票業","演藝經紀","-"
"109","售票業","周邊商品","1.25"
"109","售票業","活動空間營運","-"
"109","售票業","活動策劃","21.25"
"109","售票業","活動製作/工程","2.5"
"109","售票業","票券銷售服務","75"
"109","售票業","其他文化內容領域","-"
"109","售票業","其他","-"
"109","KTV與伴唱產品業","音樂製作","1.43"
"109","KTV與伴唱產品業","實體音樂銷售","-"
"109","KTV與伴唱產品業","歌曲授權及版權管理","1.43"
"109","KTV與伴唱產品業","數位音樂串流/下載","1.43"
"109","KTV與伴唱產品業","KTV與伴唱產品","75.21"
"109","KTV與伴唱產品業","演藝經紀","1.43"
"109","KTV與伴唱產品業","周邊商品","-"
"109","KTV與伴唱產品業","活動空間營運","-"
"109","KTV與伴唱產品業","活動策劃","-"
"109","KTV與伴唱產品業","活動製作/工程","-"
"109","KTV與伴唱產品業","票券銷售服務","-"
"109","KTV與伴唱產品業","其他文化內容領域","-"
"109","KTV與伴唱產品業","其他","19.07"
